id;desvionum;tailnum
227;0;N629AW
228;0;N668AW
229;0;N621AW
230;0;N374AA
231;0;N381AA
232;0;N362AA
233;0;N508AS
234;0;N506AS
235;0;N565AS
236;0;N26210
237;0;N75426
238;0;N77295
239;0;N149AT
240;0;N316AT
241;0;N765SW
242;0;N765SW
243;0;N588UA
244;0;N588UA
245;0;N648UA
246;0;N353AA
247;0;N360AA
248;0;N383AA
249;0;N508AS
250;0;N506AS
251;0;N565AS
252;0;N585JB
253;0;N585JB
254;0;N715JB
255;0;N715JB
256;0;N589JB
257;0;N589JB
258;0;N17620
259;0;N11612
260;0;N16646
261;0;N583HA
262;0;N584HA
263;0;N593HA
264;0;N523SW
265;0;N523SW
266;0;N512SW
267;0;N512SW
268;0;N644AW
269;0;N632AW
270;0;N632AW
271;0;N603AW
272;0;N668AW
273;0;N353AA
274;0;N360AA
275;0;N383AA
276;0;N548AS
277;0;N588AS
278;0;N564AS
279;0;N715JB
280;0;N625JB
281;0;N648JB
282;0;N76503
283;0;N18223
284;0;N75410
285;0;N951DL
286;0;N918DE
287;0;N939DL
288;0;N126AT
289;0;N288AT
290;0;N169AT
291;0;N584HA
292;0;N593HA
293;0;N583HA
294;0;N425LV
295;0;N229WN
296;0;N229WN
297;0;N229WN
298;0;N733SA
299;0;N733SA
300;0;N733SA
301;0;N733SA
302;0;N560UA
303;0;N648UA
304;0;N510UA
305;0;N360AA
306;0;N381AA
307;0;N342AA
308;0;N548AS
309;0;N588AS
310;0;N564AS
311;0;N715JB
312;0;N625JB
313;0;N648JB
314;0;N3749D
315;0;N676DL
316;0;N584HA
317;0;N593HA
318;0;N582HA
319;0;N395SW
320;0;N395SW
321;0;N395SW
322;0;N629AW
323;0;N826AW
324;0;N620AW
325;0;N644AW
326;0;N592AS
327;0;N568AS
328;0;N590AS
329;0;N597JB
330;0;N746JB
331;0;N624JB
332;0;N632DL
333;0;N752AT
334;0;N584HA
335;0;N593HA
336;0;N582HA
337;0;N315SW
338;0;N315SW
339;0;N494WN
340;0;N315SW
341;0;N387SW
342;0;N387SW
343;0;N387SW
344;0;N387SW
345;0;N387SW
346;0;N517UA
347;0;N517UA
348;0;N554UA
349;0;N336AA
350;0;N322AA
351;0;N329AA
352;0;N568AS
353;0;N590AS
354;0;N566AS
355;0;N594JB
356;0;N715JB
357;0;N584JB
358;0;N647DL
359;0;N144DA
360;0;N125DL
361;0;N596HA
362;0;N598HA
363;0;N581HA
364;0;N501SW
365;0;N314SW
366;0;N397SW
367;0;N397SW
368;0;N397SW
369;0;N397SW
370;0;N508UA
371;0;N555UA
372;0;N560UA
373;0;N569AS
374;0;N513AS
375;0;N562AS
376;0;N67171
377;0;N647DL
378;0;N693DL
379;0;N598HA
380;0;N581HA
381;0;N588HA
382;0;N270WN
383;0;N270WN
384;0;N270WN
385;0;N270WN
386;0;N270WN
387;0;N270WN
388;0;N399WN
389;0;N455WN
390;0;N455WN
391;0;N455WN
392;0;N399WN
393;0;N455WN
394;0;N664AW
395;0;N658AW
396;0;N658AW
397;0;N640AW
398;0;N603AW
399;0;N562AS
400;0;N556AS
401;0;N588AS
402;0;N658JB
403;0;N554JB
404;0;N584JB
405;0;N17122
406;0;N29124
407;0;N13110
408;0;N687DL
409;0;N961DL
410;0;N988DL
411;0;N350SW
412;0;N555UA
413;0;N560UA
414;0;N669AW
415;0;N669AW
416;0;N827AW
417;0;N663AW
418;0;N672AW
419;0;N672AW
420;0;N391AA
421;0;N374AA
422;0;N513AS
423;0;N562AS
424;0;N552AS
425;0;N612JB
426;0;N708JB
427;0;N639JB
428;0;N68061
429;0;N66051
430;0;N67058
431;0;N300AT
432;0;N328AT
433;0;N276AT
434;0;N591HA
435;0;N582HA
436;0;N587HA
437;0;N624SW
438;0;N624SW
439;0;N624SW
440;0;N624SW
441;0;N601WN
442;0;N382SW
443;0;N601WN
444;0;N382SW
445;0;N554UA
446;0;N508UA
447;0;N557UA
448;0;N661AW
449;0;N650AW
450;0;N320AA
451;0;N321AA
452;0;N332AA
453;0;N562AS
454;0;N556AS
455;0;N588AS
456;0;N729JB
457;0;N615JB
458;0;N656JB
459;0;N67052
460;0;N68061
461;0;N66051
462;0;N6709
463;0;N639DL
464;0;N612DL
465;0;N300AT
466;0;N328AT
467;0;N276AT
468;0;N582HA
469;0;N587HA
470;0;N591HA
471;0;N291WN
472;0;N291WN
473;0;N699SW
474;0;N699SW
475;0;N699SW
476;0;N699SW
477;0;N623SW
478;0;N623SW
479;0;N623SW
480;0;N623SW
481;0;N661AW
482;0;N661AW
483;0;N659AW
484;0;N659AW
485;0;N339AA
486;0;N336AA
487;0;N323AA
488;0;N566AS
489;0;N589AS
490;0;N513AS
491;0;N653JB
492;0;N644JB
493;0;N599JB
494;0;N19141
495;0;N12114
496;0;N1612T
497;0;N6709
498;0;N652DL
499;0;N592HA
500;0;N593HA
501;0;N597HA
502;0;N763SW
503;0;N763SW
504;0;N588UA
505;0;N588UA
506;0;N648UA
507;0;N833AW
508;0;N830AW
509;0;N594AS
510;0;N566AS
511;0;N589AS
512;0;N41140
513;0;N17122
514;0;N19136
515;0;N6708D
516;0;N677DL
517;0;N593HA
518;0;N597HA
519;0;N587HA
520;0;N603SW
521;0;N655WN
522;0;N655WN
523;0;N315UA
524;0;N322AA
525;0;N325AA
526;0;N339AA
527;0;N558AS
528;0;N590AS
529;0;N566AS
530;0;N613JB
531;0;N190JB
532;0;N292JB
533;0;N659DL
534;0;N125DL
535;0;N6708D
536;0;N337AT
537;0;N587HA
538;0;N596HA
539;0;N592HA
540;0;N514SW
541;0;N514SW
542;0;N514SW
543;0;N514SW
544;0;N506SW
545;0;N506SW
546;0;N506SW
547;0;N506SW
548;0;N648UA
549;0;N505UA
550;0;N664AW
551;0;N661AW
552;0;N335AA
553;0;N338AA
554;0;N558AS
555;0;N590AS
556;0;N566AS
557;0;N588JB
558;0;N581JB
559;0;N655JB
560;0;N307AT
561;0;N330AT
562;0;N972AT
563;0;N596HA
564;0;N592HA
565;0;N589HA
566;0;N376SW
567;0;N376SW
568;0;N376SW
569;0;N315UA
570;0;N906AW
571;0;N908AW
572;0;N909AW
573;0;N320AA
574;0;N321AA
575;0;N332AA
576;0;N590AS
577;0;N596AS
578;0;N323AS
579;0;N608JB
580;0;N603JB
581;0;N653JB
582;0;N922AT
583;0;N934AT
584;0;N994AT
585;0;N593HA
586;0;N587HA
587;0;N594HA
588;0;N612SW
589;0;N612SW
590;0;N612SW
591;0;N208WN
592;0;N208WN
593;0;N208WN
594;0;N532UA
595;0;N560UA
596;0;N555UA
597;0;N327AA
598;0;N328AA
599;0;N320AA
600;0;N593AS
601;0;N553AS
602;0;N548AS
603;0;N634JB
604;0;N504JB
605;0;N641JB
606;0;N649DL
607;0;N621DL
608;0;N681DA
609;0;N587HA
610;0;N594HA
611;0;N584HA
612;0;N693SW
613;0;N693SW
614;0;N532UA
615;0;N532UA
616;0;N525UA
617;0;N909AW
618;0;N335AA
619;0;N338AA
620;0;N586AS
621;0;N564AS
622;0;N549AS
623;0;N625JB
624;0;N585JB
625;0;N655JB
626;0;N656DL
627;0;N632SW
628;0;N632SW
629;0;N632SW
630;0;N632SW
631;0;N374SW
632;0;N374SW
633;0;N374SW
634;0;N374SW
635;0;N518UA
636;0;N554UA
637;0;N532UA
638;0;N906AW
639;0;N590AS
640;0;N596AS
641;0;N323AS
642;0;N14118
643;0;N13113
644;0;N14107
645;0;N690DL
646;0;N617DL
647;0;N619DL
648;0;N398SW
649;0;N398SW
650;0;N521SW
651;0;N521SW
652;0;N398SW
653;0;N398SW
654;0;N614SW
655;0;N614SW
656;0;N382SW
657;0;N382SW
658;0;N614SW
659;0;N614SW
660;0;N932UA
661;0;N832AW
662;0;N901AW
663;0;N840AW
664;0;N376AA
665;0;N371AA
666;0;N562AS
667;0;N556AS
668;0;N560AS
669;0;N382DA
670;0;N666DN
671;0;N892AT
672;0;N994AT
673;0;N952AT
674;0;N582HA
675;0;N581HA
676;0;N589HA
677;0;N280WN
678;0;N337SW
679;0;N337SW
680;0;N337SW
681;0;N337SW
682;0;N639SW
683;0;N639SW
684;0;N639SW
685;0;N639SW
686;0;N5CKAA
687;0;N5CNAA
688;0;N5EKAA
689;0;N581AS
690;0;N562AS
691;0;N556AS
692;0;N524JB
693;0;N665JB
694;0;N639JB
695;0;N3762Y
696;0;N329AT
697;0;N273AT
698;0;N167AT
699;0;N581HA
700;0;N585HA
701;0;N590HA
702;0;N752SW
703;0;N682SW
704;0;N682SW
705;0;N682SW
706;0;N682SW
707;0;N682SW
708;0;N932UA
709;0;N901AW
710;0;N563AS
711;0;N305AS
712;0;N317AS
713;0;N637JB
714;0;N524JB
715;0;N712JB
716;0;N915DL
717;0;N326AT
718;0;N267AT
719;0;N173AT
720;0;N588HA
721;0;N678AA
722;0;N678AA
723;0;N678AA
724;0;N678AA
725;0;N678AA
726;0;N614SW
727;0;N614SW
728;0;N601WN
728;1;
729;0;N614SW
730;0;N614SW
731;0;N614SW
732;0;N557UA
733;0;N525UA
